ifInOctets11_diff,ifInDiscards11_diff,ifOutOctets11_diff,tcpInSegs_diff,tcpRetransSegs_diff,tcpEstabResets_diff,tcpOutSegs_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,ipInDiscards_diff,ipInAddrErrors_diff,ipOutDiscards_diff,icmpInMsgs_diff,icmpOutMsgs_diff,icmpInDestUnreachs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
3105606046,28,2982892379,310230162,344029,104126705,205628970,4704487,1249129,76494232,566669353,566666315,267882779,0,0,50409155,265385382,56221345,56230604,1534,124709961,84443283,slowloris
3105612887,28,2982915871,310230227,344029,104126705,205629042,4704557,1249179,76494232,566669471,566666433,267882897,0,0,50409155,265385382,56221345,56230604,1534,124709961,84443283,slowloris
3105637019,28,2982933732,310230256,344029,104126705,205629072,4704638,1249257,76494232,566669575,566666537,267882999,0,0,50409155,265385382,56221345,56230604,1534,124709961,84443283,slowloris
3105643884,28,2982944648,310230279,344030,104126705,205629096,4704702,1249327,76494232,566669666,566666628,267883098,0,0,50409155,265385382,56221345,56230604,1534,124709961,84443283,slowloris
3105659789,28,2982962125,310235083,344030,104126705,205633903,4704863,1249409,76494232,566669770,566666732,267883196,0,0,50409155,265385382,56221345,56230604,1534,124709961,84443283,slowloris
3105677813,28,2982986037,310243799,346901,104126706,205639749,4704984,1249502,76494232,566669886,566666848,267883311,0,0,50409155,265385382,56221345,56230604,1534,124709961,84443283,slowpost
3105686776,28,2982991928,310253577,351843,104126707,205644587,4705115,1249551,76494232,566669974,566666936,267883389,0,0,50409155,265385382,56221345,56230604,1534,124709961,84443283,slowpost
