ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class
118823167,16042037,1,116509,0,1500,59641,0,1564430,8758312,7191749,402163,963,63,1200,402853,70530,26587,496,1370241,23264288,23264285,12426465,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118852117,16075451,1,116586,0,1500,59717,0,1564430,8758350,7191803,402163,963,62,1200,402854,70618,26678,496,1370241,23264426,23264423,12426618,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118868270,16163288,1,116655,0,1500,59808,0,1564430,8758387,7191862,402163,963,62,1200,402854,70707,26766,496,1370241,23264558,23264555,12426745,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118878206,16198632,1,116724,0,1500,59872,0,1564430,8758415,7191900,402163,963,62,1200,402854,70804,26861,496,1370241,23264668,23264665,12426858,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118887013,16210727,1,116768,0,1500,59914,0,1564430,8758441,7191926,402163,963,62,1200,402854,70890,26942,496,1370241,23264780,23264777,12426959,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118898662,16215914,1,116842,0,1500,59943,0,1564430,8758455,7191940,402163,963,62,1200,402854,71121,27023,496,1370241,23264887,23264884,12427052,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118925650,16246302,1,116914,0,1500,60015,0,1564430,8758489,7191974,402163,963,62,1200,402855,71221,27129,496,1370241,23265025,23265022,12427192,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118928199,16251456,1,116935,0,1500,60032,0,1564430,8758506,7191991,402163,965,62,1200,402855,71292,27200,496,1370241,23265113,23265110,12427279,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118931319,16256605,1,116962,0,1500,60052,0,2124455,9878568,7752028,402163,966,62,1200,402855,71362,27274,496,1370241,24846068,24846065,13217802,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118942779,16269694,1,117010,0,1500,60094,0,3575773,12781223,9203365,402163,966,62,1200,402855,71481,27397,496,1370241,27734585,27734582,14662130,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118955717,16288780,1,117084,0,1500,60147,0,5017942,15665575,10645547,402163,966,62,1200,402855,71554,27469,496,1370241,30626487,30626484,16108122,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118965489,16293329,1,117136,0,1500,60165,0,6461471,18552648,12089091,402163,966,62,1200,402855,71757,27539,496,1370241,33491364,33491361,17540593,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118975453,16297392,1,117191,0,1500,60180,0,7910818,21451351,13538448,402163,966,62,1200,402855,72043,27615,496,1370241,36405630,36405627,18997756,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118983995,16301310,1,117235,0,1500,60196,0,9335524,24300781,14963172,402163,966,62,1200,402855,72222,27684,496,1370241,39248484,39248481,20419220,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
118991823,16305906,1,117279,0,1500,60219,0,10771734,27173225,16399403,402163,967,61,1200,402856,72322,27754,496,1370241,42130021,42130017,21860038,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
119015815,16328591,1,117355,0,1500,60284,0,12200048,30029877,17827743,402163,967,61,1200,402857,72422,27855,496,1370241,44987042,44987039,23288604,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
119029783,16340813,1,117412,0,1500,60321,0,13635144,32900084,19262853,402163,967,61,1200,402857,72540,27950,496,1370241,47863123,47863120,24726694,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
119043493,16357826,1,117470,0,1500,60373,0,15056664,35743146,20684399,402163,967,61,1200,402857,72652,28039,496,1370241,50709123,50709120,26149747,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
119046054,16362655,1,117495,0,1500,60393,0,16504027,38637890,22131780,402163,967,61,1200,402857,72726,28113,496,1370241,53576305,53576302,27583385,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
119051861,16372254,1,117531,0,1500,60427,0,17905703,41441258,23533470,402163,968,61,1200,402857,72884,28195,496,1370241,56417612,56417609,29004080,0,0,0,0,0,17086446,1370432,17086250,7858007,7858007,7858007,slowloris
119068061,16389784,1,117618,0,1500,60472,0,18656640,42943152,24284428,402163,968,61,1200,402857,73072,28286,496,1516906,57880077,57880074,29735363,0,0,0,0,0,17443665,1727651,17443469,7858007,7858007,7858007,slowloris
119072592,16393011,1,117639,0,1500,60481,0,18656640,42943160,24284436,402163,968,61,1200,402857,73250,28353,496,2834276,60512374,60512371,31051541,0,0,0,0,0,18757375,3041361,18757179,7858007,7858007,7858007,slowloris
119092608,16415387,1,117712,0,1500,60529,0,18656640,42943189,24284467,402163,969,62,1200,402858,73365,28440,496,4051683,62949517,62949514,32270168,0,0,0,0,0,19974108,4258094,19973912,7858007,7858007,7858007,slowloris
119110140,16434704,1,117772,0,1500,60587,0,18656640,42943220,24284500,402163,971,62,1200,402859,73456,28533,496,4959183,64629148,64629145,33110048,0,0,0,0,0,20675388,4959374,20675192,7858007,7858007,7858007,slowloris
545602224,243686793,23,3949272,0,1500,1748122,0,5594863,12812406,7037071,1948,3124,52,1981,5087,1398893,330696,1664,7944403,37904614,37904592,19211903,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545613737,243698393,23,3949327,0,1500,1748175,0,5594863,12812452,7037120,1948,3125,55,1981,5090,1398975,330766,1664,7944403,37904709,37904687,19211993,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545620256,243703015,23,3949358,0,1500,1748199,0,5594863,12812468,7037139,1948,3125,55,1981,5090,1399055,330839,1664,7944403,37904803,37904781,19212092,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545624664,243705944,23,3949386,0,1500,1748225,0,5594863,12812491,7037164,1948,3126,55,1981,5090,1399127,330907,1664,7944403,37904896,37904874,19212180,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545627275,243706748,23,3949407,0,1500,1748234,0,5594863,12812499,7037172,1948,3126,55,1981,5090,1399209,330975,1664,7944403,37904977,37904955,19212258,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545628142,243707756,23,3949413,0,1500,1748243,0,5594863,12812506,7037179,1948,3126,55,1981,5090,1399313,331051,1664,7944403,37905058,37905036,19212336,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545632441,243709594,23,3949442,0,1500,1748261,0,5594863,12812519,7037192,1948,3126,55,1981,5090,1399424,331128,1664,7944403,37905148,37905126,19212427,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545634178,243711995,23,3949456,0,1500,1748282,0,5594863,12812528,7037201,1948,3126,55,1981,5090,1399532,331220,1664,7944403,37905250,37905228,19212532,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545658574,243723655,23,3949516,0,1500,1748333,0,5594863,12812546,7037221,1948,3126,55,1981,5090,1399617,331301,1664,7944403,37905371,37905349,19212651,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545665690,243735494,23,3949561,0,1500,1748374,0,5594863,12812583,7037258,1948,3127,56,1981,5091,1399693,331372,1664,7944403,37905456,37905434,19212735,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545674035,243744155,23,3949608,0,1500,1748414,0,5594863,12812624,7037299,1948,3127,57,1981,5092,1399775,331440,1664,7944403,37905570,37905548,19212842,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545676880,243745043,23,3949629,0,1500,1748423,0,5594863,12812631,7037306,1948,3127,57,1981,5092,1399857,331508,1664,7944403,37905652,37905630,19212923,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545678981,243747213,23,3949647,0,1500,1748444,0,5594863,12812643,7037320,1948,3127,57,1981,5092,1399927,331578,1664,7944403,37905735,37905713,19213006,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545682205,243749167,23,3949674,0,1500,1748460,0,5594863,12812656,7037332,1948,3127,56,1982,5092,1400029,331654,1664,7944403,37905826,37905804,19213090,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545683361,243750276,23,3949686,0,1500,1748470,0,5594863,12812663,7037341,1948,3127,56,1982,5092,1400097,331722,1664,7944403,37905899,37905877,19213164,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
545687433,243752009,23,3949708,0,1500,1748488,0,5594863,12812682,7037358,1948,3127,56,1982,5092,1400175,331792,1664,7944403,37905997,37905975,19213255,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
554105760,243831391,23,3955546,0,1500,1749311,0,5594866,12813807,7038173,1948,3129,56,1982,5094,1400252,331866,1664,7944403,37907191,37907169,19214143,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
554116180,243841274,23,3955571,0,1500,1749335,0,5594866,12813817,7038183,1948,3129,56,1982,5094,1400339,331949,1664,7944403,37907301,37907279,19214249,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
554122790,243845047,23,3955619,0,1500,1749373,0,5594866,12813843,7038209,1948,3129,56,1982,5094,1400446,332024,1664,7944403,37907396,37907374,19214342,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
554124974,243846609,23,3955639,0,1500,1749389,0,5594866,12813866,7038234,1948,3130,55,1982,5094,1400526,332094,1664,7944403,37907554,37907530,19214494,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
554263267,243859054,23,3955788,0,1500,1749479,0,5594866,12813947,7038310,1948,3130,55,1982,5095,1400602,332162,1664,7944403,37907640,37907616,19214576,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
554266120,243859896,23,3955806,0,1500,1749991,0,5594866,12813957,7038321,1948,3130,55,1982,5095,1400674,332230,1664,7944403,37908794,37907695,19214654,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
562682198,243917934,23,3961625,0,1500,1750094,0,5594866,12813969,7038334,1948,3130,55,1982,5095,1400744,332300,1664,7944403,37908878,37907779,19214739,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
562684795,243920347,23,3961666,0,1500,1750123,0,5594869,12813993,7038358,1948,3130,54,1982,5095,1400812,332368,1664,7944403,37908968,37907869,19214829,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
562687328,243921739,23,3961673,0,1500,1750130,0,5594869,12814014,7038375,1948,3130,54,1982,5095,1400880,332436,1664,7944403,37909066,37907967,19214923,3,0,0,0,0,15795269,7944397,15795297,3925454,3925436,3925436,slowloris
