ifInOctets11,ifOutOctets11,ifInUcastPkts11,ifOutUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,icmpInMsgs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class
3101391411,2980090700,7724056,18277309,104126658,310226634,205624790,8392135,344014,8421788,4701693,1247483,76494232,566664132,566661094,267877658,265385382,275509750,61079736,124709961,89716331,slowloris
3101402153,2980106399,7724117,18277369,104126658,310226656,205624814,8392135,344014,8421788,4701772,1247559,76494232,566664217,566661179,267877743,265385382,275509750,61079736,124709961,89716331,slowloris
3101407770,2980110275,7724150,18277385,104126658,310226667,205624826,8392135,344014,8421788,4701904,1247626,76494232,566664311,566661273,267877826,265385382,275509750,61079736,124709961,89716331,slowloris
3101434920,2980142113,7724232,18277457,104126658,310226687,205624846,8392135,344014,8421788,4702039,1247708,76494232,566664413,566661375,267877921,265385382,275509750,61079736,124709961,89716331,slowloris
3101437253,2980148065,7724257,18277484,104126658,310226715,205624876,8392135,344015,8421789,4702095,1247758,76494232,566664490,566661452,267878000,265385382,275509750,61079736,124709961,89716331,slowloris
3101448882,2980158199,7724307,18277527,104126658,310226728,205624890,8392135,344016,8421789,4702148,1247809,76494232,566664546,566661508,267878065,265385382,275509750,61079736,124709961,89716331,slowloris
3101451444,2980163490,7724328,18277563,104126659,310226742,205624905,8392135,344016,8421790,4702208,1247870,76494232,566664621,566661583,267878141,265385382,275509750,61079736,124709961,89716331,slowloris
3101454638,2980168792,7724355,18277576,104126663,310226764,205624928,8392135,344017,8421794,4702261,1247913,76494232,566664686,566661648,267878206,265385382,275509750,61079736,124709961,89716331,slowloris
3101458771,2980171964,7724390,18277592,104126664,310226779,205624944,8392135,344017,8421795,4702375,1247956,76494232,566664751,566661713,267878263,265385382,275509750,61079736,124709961,89716331,slowloris
3131098671,2987489469,7757736,18299810,107858525,317851747,209500400,8400028,368971,8432221,4726204,1260190,78967336,581880183,581877145,275538336,270556632,280681000,63552840,126059034,91065404,normal
3131118488,2987523256,7757826,18299900,107858525,317851784,209500431,8400028,368971,8432221,4726267,1260252,78967336,581880273,581877235,275538425,270556632,280681000,63552840,126059034,91065404,normal
3131129006,2987532588,7757873,18299943,107858525,317851813,209500462,8400028,368971,8432222,4726311,1260296,78967336,581880333,581877295,275538484,270556632,280681000,63552840,126059034,91065404,normal
3131129585,2987535554,7757877,18299950,107858525,317851826,209500476,8400028,368972,8432222,4726355,1260340,78967336,581880391,581877353,275538543,270556632,280681000,63552840,126059034,91065404,normal
3131146805,2987557635,7757934,18300000,107858525,317851836,209500487,8400028,368972,8432222,4726461,1260427,78967336,582201521,582198483,275699159,270556632,280681000,63552840,126059034,91065404,normal
3131151808,2987567644,7757983,18300050,108969376,320073563,210611363,8400028,368974,8432222,4726517,1260485,78967336,584420672,584417634,276808774,270556632,280681000,63552840,126059034,91065404,tcp-syn
3131155704,2987573137,7758004,18300076,110025707,322186244,211667718,8400028,368974,8432222,4726571,1260546,78967336,586559589,586556551,277878281,270556632,280681000,63552840,126059034,91065404,tcp-syn
3131162107,2987588527,7758044,18300124,110854176,323843195,212496198,8400028,368975,8432222,4726626,1260606,78967336,587872009,587868971,278534533,270556632,280681000,63552840,126059034,91065404,tcp-syn
3131163492,2987592600,7758076,18300158,110854176,323843205,212496210,8400028,368975,8432222,4726687,1260671,78967336,587872080,587869042,278534605,270556632,280681000,63552840,126059034,91065404,normal
3131168194,2987601200,7758099,18300186,110854176,323843226,212496231,8400028,368977,8432223,4726741,1260721,79574237,589185498,589182459,279191350,271267000,281391369,64263209,126059034,91065404,udp-flood
3131170354,2987605007,7758120,18300201,110854176,323843237,212496242,8400028,368977,8432223,4726784,1260764,80601138,591252262,591249224,280224759,272297259,282421627,65293467,126059034,91065404,udp-flood
3131171446,2987609156,7758131,18300212,110854176,323843281,212496284,8400028,368978,8432225,4726850,1260827,81626523,593293525,593290486,281245440,273318753,283443122,66314962,126059034,91065404,udp-flood
3131271143,2987677595,7758382,18300459,110854176,323843415,212496433,8400028,368978,8432232,4726941,1260919,81903225,593744318,593741280,281470963,273492521,283616889,66488729,126059034,91065404,icmp-echo
3131279735,2987683352,7758424,18300493,110854176,323843432,212496456,8400028,368989,8432237,4727146,1260969,81903225,593744395,593741357,281471045,273492521,283616889,66488729,126059034,91065404,normal
3131324749,2987708846,7758536,18300600,110854176,323843516,212496549,8400028,368989,8432239,4727201,1261014,81903225,595104819,595101780,282151331,274939539,285063908,66488729,126782543,91788913,icmp-echo
3131343017,2987731147,7758574,18300641,110854176,323843533,212496568,8400028,368989,8432239,4727288,1261103,81903225,597110546,597107508,283154253,276954701,287079069,66488729,127790124,92796494,icmp-echo
3131353508,2987746457,7758627,18300709,110854188,323843559,212496601,8400028,368989,8432239,4727344,1261159,81903225,598469005,598465967,283833528,278216823,288341191,66488729,128421185,93427555,icmp-echo
3131355484,2987751100,7758639,18300761,110854188,323843582,212496627,8400028,368989,8432239,4727412,1261225,81903225,598469093,598466055,283833628,278216823,288341191,66488729,128421185,93427555,normal
3131377081,2987825473,7758767,18300872,110854202,323843678,212496736,8400028,368989,8432240,4727483,1261299,81903225,598469253,598466215,283833777,278216823,288341191,66488729,128421185,93427555,normal
3131433744,2987831355,7758877,18300911,110854202,323844859,212497920,8400261,368989,8432473,4727527,1261343,81903225,598469309,598466271,283833835,278216823,288341191,66488729,128421185,93427555,slowloris
3131436874,2987836300,7758896,18300931,110854202,323849178,212502239,8400824,368989,8433036,4727619,1261414,81903225,598469390,598466352,283833912,278216823,288341191,66488729,128421185,93427555,slowloris
3131446388,2987848626,7758939,18300972,110854202,323851288,212503239,8400933,370101,8433576,4727678,1261469,81903225,598469465,598466427,283833988,278216823,288341191,66488729,128421185,93427555,slowloris
3131457534,2987859231,7758987,18301016,110854204,323861748,212510001,8401335,373802,8434141,4727725,1261516,81903225,598469540,598466502,283834063,278216823,288341191,66488729,128421185,93427555,slowpost
3131493241,2987901826,7759044,18301071,110854204,323867318,212512368,8401335,377005,8434676,4727809,1261605,81903225,598469637,598466599,283834165,278216823,288341191,66488729,128421185,93427555,slowpost
3131495781,2987907883,7759065,18301098,110854207,323876025,212516646,8401466,381436,8435218,4727867,1261664,81903225,598469705,598466667,283834238,278216823,288341191,66488729,128421185,93427555,slowpost
3131497601,2987913751,7759086,18301128,110854207,323885142,212521673,8401738,385526,8435749,4727939,1261751,81903225,598469786,598466748,283834338,278216823,288341191,66488729,128421185,93427555,slowpost
3131510951,2987931187,7759139,18301195,110855592,323891234,212527102,8402254,386297,8435796,4727987,1261813,81903225,598469850,598466812,283834413,278216823,288341191,66488729,128421185,93427555,slowpost
3131518942,2987944751,7759185,18301242,110855592,323891256,212527125,8402254,386297,8435796,4728043,1261872,81903225,598469927,598466889,283834491,278216823,288341191,66488729,128421185,93427555,normal
3131549871,2987974429,7759269,18301317,110855592,323891291,212527155,8402254,386297,8435797,4728138,1261965,81903225,598477150,598474112,283841706,278216823,288341191,66488729,128421185,93427555,normal
3131551227,2987979917,7759295,18301341,110855662,323899929,212535681,8403164,386411,8436708,4728181,1262008,81903225,598480135,598477097,283844692,278216823,288341191,66488729,128421185,93427555,slowpost
3131553024,2987983004,7759302,18301349,110855662,323901760,212537510,8403164,386414,8436709,4728225,1262052,81903225,598480191,598477153,283844748,278216823,288341191,66488729,128421185,93427555,slowloris
3131586103,2988021924,7759348,18301398,110856013,323906335,212542087,8403274,386414,8436819,4728307,1262135,81903225,598485045,598482007,283849605,278216823,288341191,66488729,128421185,93427555,slowloris
3131589566,2988026688,7759368,18301423,110856013,323906553,212542306,8403274,386415,8436820,4728389,1262219,81903225,598485146,598482108,283849707,278216823,288341191,66488729,128421185,93427555,normal
3131612560,2988053527,7759432,18301485,110856060,323910517,212546269,8403564,386418,8437111,4728433,1262263,81903225,598489155,598486117,283853717,278216823,288341191,66488729,128421185,93427555,slowloris
3131614959,2988056778,7759467,18301505,110856972,323913978,212549731,8403564,386418,8437111,4728475,1262305,81903225,598492658,598489620,283857220,278216823,288341191,66488729,128421185,93427555,slowloris
3131628902,2988070969,7759521,18301560,110856972,323914003,212549757,8403564,386418,8437111,4728577,1262388,81903225,598492770,598489732,283857330,278216823,288341191,66488729,128421185,93427555,normal
3131641960,2988090515,7759590,18301631,110856972,323914024,212549779,8403564,386418,8437111,4728664,1262474,81903225,598492870,598489832,283857432,278216823,288341191,66488729,128421185,93427555,normal
3131643226,2988094863,7759601,18301646,110856972,323914037,212549794,8403564,386418,8437111,4728712,1262520,81903225,598492929,598489891,283857492,278216823,288341191,66488729,128421185,93427555,normal
3131646648,2988099978,7759625,18301667,110856972,323914050,212549808,8403564,386419,8437111,4728756,1262564,81903225,598492990,598489952,283857554,278216823,288341191,66488729,128421185,93427555,normal
3131652684,2988110094,7759663,18301708,110856972,323914072,212549831,8403564,386419,8437111,4728821,1262633,81903225,598493074,598490036,283857642,278216823,288341191,66488729,128421185,93427555,normal
3131656878,2988118797,7759700,18301756,110856972,323914091,212549851,8403564,386420,8437111,4728888,1262694,81903225,598493148,598490110,283857722,278216823,288341191,66488729,128421185,93427555,normal
3131666286,2988131468,7759744,18301794,110856972,323914115,212549877,8403564,386420,8437111,4728940,1262754,81903225,598493227,598490189,283857809,278216823,288341191,66488729,128421185,93427555,normal
