ifInOctets11_diff,ifInDiscards11_diff,ifOutOctets11_diff,tcpInSegs_diff,tcpRetransSegs_diff,tcpEstabResets_diff,tcpOutSegs_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,ipInDiscards_diff,ipInAddrErrors_diff,ipOutDiscards_diff,icmpInMsgs_diff,icmpOutMsgs_diff,icmpInDestUnreachs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
1424918653,144,2148408738,34733009,17513,6921012,26968620,21804976,6800277,5350355,68997608,68996995,36705383,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1425296352,144,2148433700,34733058,17513,6921012,26968667,21805331,6800392,5350355,68997999,68997386,36705555,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1425526995,144,2148487326,34733144,17513,6921012,26968753,21805609,6800521,5350355,68998321,68997708,36705747,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1425733436,144,2148514559,34733181,17514,6921012,26968795,21806077,6800641,5350355,68998722,68998109,36705903,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1426169845,144,2148601005,34733399,17516,6921013,26968983,21806351,6800768,5350355,68999204,68998591,36706232,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1426469470,144,2148703311,34733508,17517,6921013,26969078,21806614,6800935,5350355,68999570,68998957,36706490,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1426876705,144,2148753990,34733659,17520,6921013,26969205,21806969,6801038,5350355,69000073,68999460,36706720,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1427104478,144,2148812506,34733851,17535,6921013,26969402,21807204,6801138,5350355,69000491,68999878,36707026,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1427333087,144,2148858676,34733987,17542,6921013,26969536,21807418,6801232,5350355,69000841,69000228,36707258,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1427733719,144,2148907195,34734066,17549,6921013,26969622,21807771,6801341,5350355,69001285,69000672,36707473,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1427965600,144,2148980219,34734263,17563,6921013,26969830,21808001,6801459,5350355,69001701,69001088,36707801,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1428186209,144,2149030813,34734420,17575,6921014,26969991,21808213,6801548,5350355,69002234,69001621,36708098,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1429189962,144,2149215127,34734782,17576,6921014,26970342,21808678,6801809,5350355,69002895,69002282,36708671,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1429776650,144,2149334291,34734905,17576,6921014,26970474,21809003,6802014,5350355,69003343,69002730,36708995,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1430007834,144,2149393058,34734992,17577,6921014,26970568,21809514,6802175,5350355,69003946,69003333,36709249,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1430538505,144,2149498318,34735168,17578,6921014,26970782,21809583,6802248,5350355,69004196,69003583,36709515,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1430555442,144,2149520133,34735199,17579,6921014,26970815,21809638,6802304,5350355,69004286,69003673,36709605,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1430575386,144,2149542460,34735230,17579,6921014,26970844,21809727,6802367,5350355,69004383,69003770,36709696,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1430599769,144,2149585956,34735300,17583,6921014,26970935,21809991,6802429,5350355,69004546,69003933,36709851,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1430698642,144,2149737305,34735431,17583,6921014,26971108,21810325,6802530,5350355,69004997,69004384,36710288,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1431331734,144,2149896719,34736036,17584,6921018,26971762,21810435,6802630,5350355,69005495,69004882,36710786,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
