timestamp,prediction_time,cpu_usage,memory_usage,prediction
2024-07-14 22:00:24,0.0022733211517333984,0.0,178.76953125,normal
2024-07-14 22:00:32,0.030561208724975586,0.0,179.01953125,normal
2024-07-14 22:00:40,0.0016257762908935547,0.0,179.01953125,normal
2024-07-14 22:00:48,0.0014007091522216797,0.0,179.14453125,normal
2024-07-14 22:00:56,0.0010843276977539062,0.0,179.14453125,normal
2024-07-14 22:01:04,0.015681743621826172,0.0,179.14453125,normal
2024-07-14 22:01:12,0.006130218505859375,0.0,179.14453125,normal
2024-07-14 22:01:20,0.0011191368103027344,0.0,179.14453125,normal
2024-07-14 22:01:29,0.0010800361633300781,0.0,179.14453125,normal
2024-07-14 22:01:38,0.01755070686340332,0.0,179.14453125,normal
2024-07-14 22:01:47,0.0012514591217041016,0.0,179.14453125,normal
2024-07-14 22:01:55,0.00101470947265625,0.0,179.14453125,normal
2024-07-14 22:02:04,0.0012145042419433594,0.0,179.14453125,normal
2024-07-14 22:02:13,0.0013425350189208984,0.0,179.14453125,normal
2024-07-14 22:02:22,0.0010340213775634766,0.0,179.14453125,normal
2024-07-14 22:02:31,0.01382136344909668,0.0,179.14453125,normal
2024-07-14 22:02:39,0.0014002323150634766,0.0,179.14453125,normal
2024-07-14 22:02:47,0.0010001659393310547,0.0,179.14453125,normal
2024-07-14 22:02:55,0.0014064311981201172,0.0,179.14453125,normal
2024-07-14 22:03:03,0.0009853839874267578,0.0,179.14453125,normal
2024-07-14 22:03:11,0.013680219650268555,0.0,179.14453125,normal
2024-07-14 22:03:19,0.011397123336791992,0.0,179.14453125,normal
2024-07-14 22:03:27,0.0010218620300292969,0.0,179.14453125,normal
2024-07-14 22:03:35,0.000995635986328125,0.0,179.14453125,normal
2024-07-14 22:03:43,0.018722057342529297,0.0,179.14453125,normal
2024-07-14 22:03:51,0.0011341571807861328,0.0,179.14453125,normal
2024-07-14 22:03:59,0.0010352134704589844,0.0,179.14453125,normal
2024-07-14 22:04:07,0.0010292530059814453,0.0,179.26953125,normal
2024-07-14 22:04:15,0.017435312271118164,0.0,179.26953125,normal
2024-07-14 22:04:23,0.0018491744995117188,0.0,179.26953125,normal
2024-07-14 22:04:31,0.0010128021240234375,0.0,179.26953125,normal
2024-07-14 22:04:39,0.014940023422241211,0.0,179.26953125,normal
2024-07-14 22:04:48,0.003271818161010742,0.0,179.26953125,normal
2024-07-14 22:04:56,0.0015354156494140625,0.0,179.26953125,normal
2024-07-14 22:05:04,0.002663850784301758,0.0,179.26953125,normal
2024-07-14 22:05:12,0.010550975799560547,0.0,179.26953125,normal
2024-07-14 22:05:20,0.0013942718505859375,0.0,179.26953125,normal
2024-07-14 22:05:28,0.0011398792266845703,0.0,179.26953125,normal
2024-07-14 22:05:35,0.001216888427734375,0.0,179.26953125,normal
2024-07-14 22:05:43,0.0010132789611816406,0.0,180.953125,normal
