ifInOctets11_diff,ifOutOctets11_diff,ifInUcastPkts11_diff,ifOutUcastPkts11_diff,tcpOutRsts_diff,tcpInSegs_diff,tcpOutSegs_diff,tcpPassiveOpens_diff,tcpRetransSegs_diff,tcpActiveOpens_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,icmpInMsgs_diff,icmpOutMsgs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
2399,3251,35,20,912,3461,3462,0,0,0,42,42,0,3503,3503,3503,0,0,0,0,0,slowloris
13943,14191,54,55,0,25,26,0,0,0,102,83,0,112,112,110,0,0,0,0,0,normal
13058,19546,69,71,0,21,22,0,0,0,87,86,0,100,100,102,0,0,0,0,0,normal
1266,4348,11,15,0,13,15,0,0,0,48,46,0,59,59,60,0,0,0,0,0,normal
3422,5115,24,21,0,13,14,0,1,0,44,44,0,61,61,62,0,0,0,0,0,normal
6036,10116,38,41,0,22,23,0,0,0,65,69,0,84,84,88,0,0,0,0,0,normal
4194,8703,37,48,0,19,20,0,1,0,67,61,0,74,74,80,0,0,0,0,0,normal
9408,12671,44,38,0,24,26,0,0,0,52,60,0,79,79,87,0,0,0,0,0,normal
14680,9212,54,57,0,47,45,0,1,1,56,59,0,105,105,111,0,0,0,0,0,normal
16691,18635,66,65,0,38,40,0,0,1,72,81,0,107,107,110,0,0,0,0,0,normal
30746,37430,82,85,0,15,16,0,0,0,114,113,0,135,135,134,0,0,0,0,0,normal
33527,31577,103,98,0,20,20,0,0,0,145,129,0,164,164,147,0,0,0,0,0,normal
11039,9871,64,53,0,11,12,0,0,0,56,56,0,60,60,60,0,0,0,0,0,normal
16968,26153,65,69,31,548258,547939,52252,322,52638,71,73,0,114,114,117,0,0,0,0,0,slowpost
2818,4827,31,25,83,1466375,1465697,140400,681,140478,87,89,0,107,107,109,0,0,0,0,0,slowpost
14944,20217,82,81,77,1490161,1489481,143393,684,143115,73,55,0,93,93,94,0,0,0,0,0,slowpost
4121,7734,39,44,98,1430448,1430289,135163,161,135326,66,65,0,99,99,107,0,0,0,0,0,slowpost
12894,11936,73,64,36,1401918,1401450,131578,473,131668,79,48,0,72,72,69,0,0,0,0,0,slowpost
46213,61206,129,122,52,1335841,1335646,123788,199,123611,151,135,0,166,166,162,0,0,0,0,0,slowpost
17118,19137,58,56,73,1375624,1375579,127611,44,127579,74,74,0,112,112,110,0,0,0,0,0,slowpost
3170,10018,37,34,79,1432051,1431962,132917,92,133025,69,67,0,83,83,82,0,0,0,0,0,slowpost
8703,10008,38,92,72,1436985,1436883,134159,115,134314,73,75,0,7183,7183,4694,0,0,0,0,0,slowpost
57608160,1207866,50981,15747,151,1463840,1453834,135661,667,135371,81,80,0,25681,25681,12970,0,0,0,0,0,slowpost
16270571,42940641,17022,28226,139,1472680,1483199,136903,38,137273,110,81,0,10097,10097,3312,0,0,0,0,0,slowpost27398,24799,108,85,50,1461727,1461659,138011,67,137797,136,74,0,95,95,85,0,0,0,0,0,slowpost
48873,53368,84,80,53,1380107,1379978,128693,130,128770,120,118,0,145,145,144,0,0,0,0,0,slowpost
