ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class
1212648127,2818999691,25,4624775,0,1500,17367438,0,101230385,304112188,202443881,8390565,332051,67,20931,8417858,1960504,549246,3259,70738839,543403672,543400634,256797641,3,0,0,0,0,256167637,50475258,266289944,122979611,122979593,87985963,tcp-syn
1212977437,2819110337,25,4625782,0,1500,17367832,0,102556606,306764670,203770146,8390565,332051,66,20931,8417858,1961539,549537,3259,70738839,545541546,545538508,257866364,3,0,0,0,0,256167637,50475258,266289944,122979611,122979593,87985963,tcp-syn
1213228968,2819200536,25,4626602,0,1500,17368151,0,102556606,306764708,203770186,8390565,332051,66,20931,8417858,1962474,549962,3259,71188690,546584095,546581056,258387657,3,0,0,0,0,256821606,51129227,266943914,122979611,122979593,87985963,udp-flood
1213444655,2819362348,25,4627316,0,1500,17368628,0,102556606,306764739,203770218,8390565,332051,66,20931,8417859,1963160,550542,3259,72459834,549124425,549121387,259658071,3,0,0,0,0,258095177,52402798,268217484,122979611,122979593,87985963,udp-flood
1213636384,2819504069,25,4628099,0,1500,17369212,0,102556606,306764774,203770254,8390565,332051,66,20931,8417859,1963905,550972,3259,73261663,550589642,550586604,260390743,3,0,0,0,0,258690461,52998082,268812768,122979611,122979593,87985963,udp-flood
1213868855,2819656579,25,4628697,0,1500,17369580,0,102556606,306764804,203770285,8390565,332051,66,20931,8417859,1964464,551496,3259,73261663,550590223,550587185,260391281,3,0,0,0,0,258690461,52998082,268812768,122979611,122979593,87985963,slowloris
3116424804,2984683803,29,7740903,0,1500,18290990,0,104129481,310312221,205685703,8395814,368903,88,24948,8427956,4708543,1251436,4960,76494232,566680447,566677409,267893054,3,0,0,0,0,265385382,56230604,275509750,124713683,124709961,89716331,slowloris
3116429887,2984688022,29,7740938,0,1500,18291022,0,104129481,310312244,205685728,8395814,368903,88,24948,8427956,4708643,1251509,4960,76494232,566680543,566677505,267893150,3,0,0,0,0,265385382,56230604,275509750,124713683,124709961,89716331,slowloris
3116434765,2984694781,29,7740976,0,1500,18291055,0,104129481,310312254,205685740,8395814,368903,88,24948,8427956,4708748,1251602,4960,76494232,566680644,566677606,267893259,3,0,0,0,0,265385382,56230604,275509750,124713683,124709961,89716331,slowloris
3127400968,2985626796,29,7751073,0,1500,18294431,0,104129481,310313241,205686770,8395814,368911,91,24950,8427973,4718626,1254255,4960,76494232,566690851,566687813,267896902,3,0,0,0,0,265385382,56230604,275509750,124713683,124709961,89716331,normal
3127424096,2985654504,29,7751177,0,1500,18294523,0,104129481,310313334,205686874,8395814,368912,90,24950,8427975,4718775,1254347,4960,76494232,566690999,566687961,267897056,3,0,0,0,0,265385382,56230604,275509750,124713683,124709961,89716331,normal
3127431665,2985664456,29,7751227,0,1500,18294570,0,104129481,310313359,205686902,8395814,368913,90,24950,8427975,4718861,1254420,4960,76494232,566691094,566688056,267897150,3,0,0,0,0,265385382,56230604,275509750,124713683,124709961,89716331,normal
3127441013,2985672369,29,7751261,0,1500,18294596,0,104129481,310313378,205686922,8395814,368913,90,24950,8427975,4718980,1254499,4960,76494232,567071673,567068634,268087490,3,0,0,0,0,265385382,56230604,275509750,124713683,124709961,89716331,normal
3127457781,2985692761,29,7751332,0,1500,18294652,0,105358872,312772180,206916333,8395814,368915,90,24950,8427975,4719170,1254597,4960,76494232,569641771,569638733,269372589,3,0,0,0,0,265385382,56230604,275509750,124713683,124709961,89716331,tcp-syn
3127469245,2985705814,29,7751392,0,1500,18294700,0,106610851,315276165,208168337,8395814,368915,89,24951,8427975,4719304,1254718,4960,76494232,572164205,572161167,270633878,3,0,0,0,0,265385382,56230604,275509750,124713683,124709961,89716331,tcp-syn
3127492647,2985734736,29,7751471,0,1500,18294773,0,107854311,317763103,209411817,8395814,368915,87,24953,8427975,4719458,1254810,4960,76494232,574141248,574138210,271622457,3,0,0,0,0,265385382,56230604,275509750,124713683,124709961,89716331,tcp-syn
3127499097,2985740677,29,7751501,0,1500,18294807,0,107854311,317763130,209411845,8395814,368915,87,24953,8427975,4719530,1254882,4960,76494232,574141346,574138308,271622554,3,0,0,0,0,265385382,56230604,275509750,124713683,124709961,89716331,normal
3127515548,2985759576,29,7751550,0,1500,18294851,0,107854311,317763164,209411881,8395814,368916,87,24953,8427976,4719721,1254964,4960,77145141,575592655,575589617,272348262,3,0,0,0,0,266266111,57111334,276390480,124713683,124709961,89716331,udp-flood
3127528615,2985766117,29,7751621,0,1500,18294884,0,107854311,317763190,209411907,8395814,368917,85,24954,8427976,4719853,1255044,4960,78317275,577936447,577933408,273520212,3,0,0,0,0,267435220,58280442,277559588,124713683,124709961,89716331,udp-flood
3127535970,2985776086,29,7751668,0,1500,18294922,0,107854311,317763205,209411924,8395814,368917,85,24954,8427976,4719936,1255127,4960,78967336,579087889,579084851,274095984,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,udp-flood
3127564978,2985817606,29,7751752,0,1500,18295009,0,107854311,317763251,209411977,8395814,368918,85,24954,8427977,4720054,1255245,4960,78967336,579088047,579085009,274096145,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,normal
3127572607,2985830665,29,7751783,0,1500,18295037,0,107854311,317763268,209411996,8395814,368918,85,24954,8427977,4720156,1255319,4960,78967336,579088139,579085101,274096237,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,normal
3127575395,2985836733,29,7751806,0,1500,18295064,0,107854311,317763285,209412013,8395814,368926,85,24954,8427977,4720229,1255390,4960,78967336,579088230,579085192,274096334,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,normal
3127578537,2985845277,29,7751832,0,1500,18295096,0,107854311,317763298,209412027,8395814,368926,85,24954,8427977,4720306,1255471,4960,78967336,579088318,579085280,274096429,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,normal
3127584081,2985858739,29,7751863,0,1500,18295131,0,107854311,317763317,209412047,8395814,368927,85,24954,8427977,4720396,1255559,4960,78967336,579088427,579085389,274096537,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,normal
3127608668,2985883308,29,7751941,0,1500,18295204,0,107854311,317763357,209412088,8395814,368927,85,24954,8427978,4720497,1255649,4960,78967336,579088568,579085530,274096668,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,normal
3127620004,2985895100,29,7751995,0,1500,18295248,0,107854311,317763377,209412109,8395814,368927,85,24954,8427979,4720605,1255740,4960,78967336,579088671,579085633,274096772,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,normal
3127632501,2985913851,29,7752034,0,1500,18295301,0,107854311,317763387,209412120,8395814,368927,85,24954,8427979,4720715,1255849,4960,78967336,579088794,579085756,274096893,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,normal
3127640591,2985920540,29,7752059,0,1500,18295323,0,107854311,317763408,209412142,8395814,368928,85,24954,8427979,4720784,1255918,4960,78967336,579088885,579085847,274096985,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,normal
3127648309,2985925722,29,7752109,0,1500,18295334,0,107854311,317763418,209412152,8395814,368928,85,24954,8427979,4720958,1255987,4960,78967336,579088972,579085934,274097060,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,normal
3127651030,2985928953,29,7752132,0,1500,18295344,0,107854311,317771600,209420330,8396721,368933,1899,24954,8428887,4721036,1256055,4960,78967336,579099042,579096004,274107129,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127653433,2985940541,29,7752176,0,1500,18295383,0,107854311,317773441,209422170,8396721,368937,1899,24954,8428888,4721131,1256137,4960,78967336,579099152,579096114,274107237,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127661168,2985944386,29,7752196,0,1500,18295399,0,107854581,317778140,209426869,8396834,368937,1460,25224,8429001,4721199,1256205,4960,78967336,579103929,579100891,274112013,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127713024,2985998771,29,7752291,0,1500,18295491,0,107854706,317782112,209430843,8397104,368938,1875,25349,8429272,4721345,1256347,4960,78967336,579108025,579104987,274116119,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127732785,2986024443,29,7752360,0,1500,18295567,0,107854959,317786600,209435333,8397229,368938,1547,25602,8429397,4721454,1256446,4960,78967336,579112909,579109871,274121008,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127738308,2986031592,29,7752396,0,1500,18295604,0,107855106,317790737,209439471,8397482,368939,1831,25749,8429650,4721531,1256523,4960,78967336,579116823,579113785,274124923,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127741762,2986038156,29,7752422,0,1500,18295634,0,107855106,317791600,209440337,8397482,368940,1581,25749,8429650,4721608,1256596,4960,78967336,579121239,579118201,274129342,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,normal
3127745092,2986042425,29,7752443,0,1500,18295654,0,107855356,317795695,209444434,8397629,368940,1475,25999,8429797,4721678,1256665,4960,78967336,579125699,579122661,274133802,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127748801,2986046589,29,7752468,0,1500,18295673,0,107855506,317799492,209448231,8397878,368940,1822,26150,8430046,4721833,1256736,4960,78967336,579125799,579122761,274133887,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
