ifInOctets11,ifOutOctets11,ifInUcastPkts11,ifOutUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,icmpInMsgs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,target
-3385909779,49711249,673798,227301,3,7,6,2,0,0,0,72,110,1,369,106,246,9,109,101,3,3,normal
1451885937,69294918,1047752,385747,3,7,0,0,0,0,0,78,126,3,237,118,244,9,74,71,2,2,normal
497794878,26408503,359603,132894,2,2,0,0,0,0,0,63,120,7,225,126,179,12,32,27,5,5,normal
-1973583537,110932834,1669513,645131,3,4,0,0,0,0,0,73,109,1,269,144,168,10,26,28,4,4,normal
1033119726,279945287,804665,426544,3,4,2,1,0,0,0,85,127,3,278,170,205,12,38,26,6,6,normal
807220779,353668850,655241,400662,8,18,4,1,0,0,0,296,338,2,469,341,427,10,39,36,4,4,normal
1285478398,448451228,997329,569808,2,2,0,0,0,0,0,80,121,0,235,111,184,12,37,28,4,4,normal
660385073,76768292,723501,255493,2,2,0,0,0,0,0,90,120,2,269,130,194,15,42,30,9,9,normal
-3407732217,38202407,443333,139949,0,0,0,0,0,0,0,51,88,5,183,77,158,8,36,32,2,2,normal
1196056450,99660149,1189470,382264,3,7,3,1,0,0,0,75,127,1,235,147,194,9,32,30,2,2,normal
1379421798,42690841,703693,217570,7,12,3,1,0,0,0,78,117,2,258,133,190,9,32,30,2,2,normal
705701247,44260600,538839,183096,4,4,0,0,0,0,0,48,71,6,239,125,139,10,28,25,4,4,normal
-3228311798,56814551,790955,261127,2,2,0,0,0,0,0,1909,2015,1,2281,2223,2272,8,28,29,1,1,normal
1445642683,-4221959519,1053471,349472,4,6,0,0,0,0,0,2944,2962,5,3083,2970,2972,8,30,26,1,1,normal
993771074,59894213,746536,298269,1,8,6,2,0,0,0,575,559,2,655,494,487,7,31,30,1,1,normal
611174205,40185081,461828,194886,2,3,0,0,0,0,0,76,113,0,275,180,186,8,34,33,1,1,normal
-2945859188,68710569,997864,355853,2,2,0,0,0,0,0,64,97,1,288,179,166,7,32,31,1,1,normal
648056977,38598656,489766,167493,0,0,0,0,0,0,0,77,107,5,278,125,166,8,28,27,1,1,normal
1083199027,57122649,800814,287630,6,10,3,1,0,0,0,1244,1321,1,1583,1500,1600,8,28,26,2,2,normal
387066634,30652981,767331,293540,2,6,3,1,0,0,0,2976,3034,6,3145,3066,3088,13,37,31,6,6,normal
1284355501,111067053,523915,212981,3,3,0,0,0,0,0,963,923,8,918,768,798,10,30,27,3,3,normal
-3322923841,66736938,734593,303611,3,3,0,0,0,0,0,82,108,3,225,120,182,8,29,27,2,2,normal
539513089,34295974,399916,165258,2,2,0,0,0,0,0,63,95,5,235,123,165,8,41,40,1,1,normal
1504433590,139454961,1148323,510530,4,8,3,1,0,0,0,230,277,5,539,425,433,7,43,42,1,1,normal
916731985,70356995,688091,279756,4,9,3,1,0,0,0,165,191,0,262,107,195,8,46,45,1,1,normal
-3572644766,43823549,525150,195435,2,2,0,0,0,0,0,52,85,5,219,126,171,7,35,34,1,1,normal
1599094095,99657950,1202967,400538,1,1,0,0,0,0,0,82,111,6,305,156,189,8,36,35,1,1,normal
1029711067,59462072,783488,245464,3,3,0,0,0,0,0,82,109,4,270,139,166,7,29,27,2,2,normal
296929547,19130983,228039,76946,0,8,6,2,0,0,0,50,79,4,259,111,148,10,25,22,3,3,normal
995451245,101259300,1090544,368139,3,3,0,0,0,0,0,94,124,3,280,153,200,13,51,45,6,6,normal
-2761310957,57975232,809379,282486,3,3,0,0,0,0,0,92,135,6,277,128,205,7,44,43,1,1,normal
