ifInOctets11,ifOutOctets11,ifInUcastPkts11,ifOutUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,icmpInMsgs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class
3827393,254772,0,4155,0,0,1643,0,0,37,40,0,0,0,0,0,4257,1780,0,1227517,2455589,2455590,1227580,0,0,0,0,0,1230780,1230780,1230780,0,0,0,udp-flood
3704213,303419,0,4809,0,0,2126,0,0,52,52,0,0,0,0,0,4320,1686,0,1236188,2470601,2470601,1234812,0,0,0,0,0,1229308,1229308,1229308,0,0,0,udp-flood
6517396,453212,0,5968,0,0,2137,0,0,169,158,0,0,0,0,5,6347,2508,0,1230197,2478261,2478261,1238541,0,0,0,0,0,1236367,1236367,1236368,0,0,0,udp-flood
4363918,524210,0,4363,0,0,2266,0,0,69,72,0,0,-1,0,0,4401,2341,0,1234630,2460095,2460095,1230237,0,0,0,0,0,1222312,1222312,1222312,0,0,0,udp-flood
3923329,455549,0,5127,0,0,2467,0,0,99,83,0,1,1,0,1,4670,2072,0,1255938,2532220,2532219,1265798,0,0,0,0,0,1263759,1263759,1263758,0,0,0,udp-flood
5037656,430667,0,4484,0,0,1813,0,0,88,93,0,0,1,0,2,5558,2015,0,941625,1706829,1706830,852700,0,0,0,0,0,674251,674251,674251,0,0,0,udp-flood
3781085,15938921,0,4764,0,0,140200,0,0,57,61,0,8,-2,1,0,2964,1553,0,569068,667733,667733,227868,0,0,0,0,0,1988,1988,257845,0,0,0,udp-flood
1435726,57227204,0,1669,0,0,195255,0,0,72,74,0,4,0,1,1,1433,738,0,1013593,990155,990155,255627,0,0,0,0,0,1868,1868,243818,0,0,0,udp-flood
227425,63866434,0,591,0,0,292732,0,0,40,50,0,5,0,0,0,695,658,0,986552,988222,988222,248907,0,0,0,0,0,1948,1948,254983,0,0,0,udp-flood
228080,58642063,0,716,0,0,268780,0,0,23,35,0,7,0,0,0,730,525,0,1012317,1008348,1008348,252875,0,0,0,0,0,1995,1995,251460,0,0,0,udp-flood
149488,38499231,0,459,0,0,220301,0,0,73,73,0,7,-1,3,3,639,949,0,1029587,1033597,1033597,187028,0,0,0,0,0,1407,1407,182440,0,0,0,udp-flood
624941,44525464,0,1008,0,0,159507,0,2,51,62,0,4,-3,0,1,777,855,0,1026321,1029381,1029381,221953,0,0,0,0,0,1754,1754,228854,0,0,0,udp-flood
157278,60352225,0,468,0,0,276327,0,0,26,34,0,8,1,0,1,463,753,0,995186,1004541,1004541,249644,0,0,0,0,0,1988,1988,247998,0,0,0,udp-flood
468546,41582971,0,771,0,0,263051,0,2,70,84,0,17,-3,0,4,962,476,0,982952,981631,981630,274869,0,0,0,0,0,2054,2054,268636,0,0,0,udp-flood
3290116,62673518,0,3738,0,0,215112,0,0,83,84,0,6,0,0,0,4272,1675,0,971635,978449,978450,218267,0,0,0,0,0,1839,1839,238574,0,0,0,udp-flood
1153002,53492687,0,1508,0,0,320165,0,0,32,40,0,5,-1,0,0,1123,741,0,913135,915646,915646,311272,0,0,0,0,0,2433,2433,322402,0,0,0,udp-flood
